Date,City,Venue,Bands,Notes

2017-06-21,"Albuquerque, NM",Balloon Fiesta Park,"Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-06-22,"Phoenix, AZ",Fear Farm Festival Grounds,"Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-06-23,"Las Vegas, NV",Hard Rock Hotel,"Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-06-24,"Salt Lake City, UT",Utah State Fair Park,"Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-06-25,"Denver, CO",Pepsi Center,"Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-06-27,"Nashville, TN",Tennessee State Fairgrounds,"Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-06-29,"Atlanta, GA",Lakewood Amphitheatre,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-06-30,"Orlando, FL",Tinker Field,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-01,"St. Petersburg, FL",Vinoy Park,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-02,"West Palm Beach, FL",Perfect Vodka Amphitheatre,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-03,"Orlando, FL",Back Booth,"Beartooth, Hands Like Houses",

2017-07-04,"Jacksonville, NC",Hooligans Music Hall,"Beartooth, Blessthefall, Our Last Night, Hands Like Houses, Too Close To Touch",

2017-07-06,"Charlotte, NC",PNC Music Pavillion,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-07,"Camden, NJ",BB&T Pavillion,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-08,"New York, NY",Jones Beach Amphitheatre,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-09,"Hartford, CT",Xfinity Theatre,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-10,"Scranton, PA",The Pavillion at Montage Mountain,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-11,"Virginia Beach, VA",Veterans United Amphitheatre,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-12,"Mansfield, MA",Xfinity Center,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-13,"Buffalo, NY",Darien Lake,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-14,"Burgettstown, PA",Keybank Pavillion,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-15,"Holmdel, NJ",PNC Bank Arts Center,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-16,"Columbia, MD",Merriweather Post Pavillion,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-18,"Cleveland, OH",Blossom Music Center,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-19,"Cincinnati, OH",Riverbend Music Center,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-20,"Indianapolis, IN",Klipsch Music Center,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-21,"Pontiac, MI",The Palace of Auburn Hills,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-22,"Chicago, IL",Hollywood Casino Amphitheatre,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-23,"Shakopee, MN",Canterbury Park,"Silvertooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour - Performed as Silvertooth

2017-07-24,"Milwaukee, WI",Henry Maier Festival Park,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, Anti Flag, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-26,"St. Louis, MO",Hollywood Casino Amphitheatre,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-27,"Bonner Springs, KS",Providence Medical Center Amphitheatre,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-28,"Dallas, TX",Starplex Pavillion,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more ",Vans Warped Tour

2017-07-29,"San Antonio, TX",AT&T Center,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more",Vans Warped Tour

2017-07-30,"Houston, TX",NRG Park,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more",Vans Warped Tour

2017-08-01,"Las Cruces, NM",NMSU Practice Field,"Beartooth, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more",Vans Warped Tour

2017-08-04,"Mountain View, CA",Shoreline Amphitheatre,"Beartooth, Goldfinger, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more",Vans Warped Tour

2017-08-05,"San Diego, CA",Qualcomm Stadium,"Beartooth, Goldfinger, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more",Vans Warped Tour

2017-08-06,"Pomona, CA",Pomona Fairplex,"Beartooth, Goldfinger, Neck Deep, I Prevail, Andy Black, CKY, Hawthorne Heights, Dance Gavin Dance, American Authors, Hands Like Houses, Memphis May Fire, Hatebreed, GWAR, Counterparts, Blessthefall, Stick To Your Guns, Municipal Waste, Silent Planet + more",Vans Warped Tour

2017-09-10,"Philadelphia, PA",Festival Pier,"A Day To Remember, Underoath, Falling in Reverse, Microwave, Moose Blood, Real Friends, Wage War",Self Help Festival

2017-09-15,"St. Catherines, OH",Warehouse,"Heavy Hearts, The Wildhood",

2017-09-16,"Kitchener, ON",Maxwells,"Comeback Kid, Counterparts, Stray From The Path, Kingdoms, Gideon, Cardinals Pride, Nightwell",KOI Music Festival

2017-09-29,"Cologne, Germany",Gebaude 9,Trash Boat,For The Fans Tour

2017-09-30,"Munster, Germany",Gleis 22,Trash Boat,For The Fans Tour

2017-10-01,"Bremen, Germany",Tower,Trash Boat,For The Fans Tour

2017-10-02,"Hamburg, Germany",Logo,Trash Boat,For The Fans Tour

2017-10-04,"Hannover, Germany",Chez Heinz,Trash Boat,For The Fans Tour

2017-10-05,"Berlin, Germany",Cassiopeia,Trash Boat,For The Fans Tour

2017-10-06,"Leipzig, Germany",Moritzbastei,Trash Boat,For The Fans Tour

2017-10-07,"Dresden, Germany",Scheune,Trash Boat,For The Fans Tour

2017-10-08,"Dortmund, Germany",FZW,Trash Boat,For The Fans Tour

2017-10-10,"Wiesbaden, Germany",Schlachthof,Trash Boat,For The Fans Tour

2017-10-11,"Trier, Germany",Mergener Hof,Trash Boat,For The Fans Tour

2017-10-12,"Wurzburg, Germany",Cafe Cairo,Trash Boat,For The Fans Tour

2017-10-13,"Erlangen, Germany",E Werk,Trash Boat,For The Fans Tour

2017-10-14,"Munich, Germany",Kranhalle,Trash Boat,For The Fans Tour

2017-11-01,"Kingston, ON",The Mansion,"Seaway, Like Pacific, Cedar Green",

2017-11-02,"Montreal, QC",La Tulipe,"Seaway, Like Pacific, Cedar Green",

2017-11-03,"Quebec City, QC",Le Cercle,"Seaway, Like Pacific, Cedar Green",

2017-11-04,"Ottawa, ON",Brass Monkey,"Seaway, Like Pacific, Cedar Green",

2017-11-07,"Winnipeg, MB",Park Theatre,"Seaway, Cedar Green",

2017-11-08,"Saskatoon, SK",Louis Pub,"Seaway, Cedar Green",

2017-11-09,"Edmonton, AB",The Needle,"Seaway, Cedar Green",

2017-11-11,"Vancouver, BC",Rickshaw Theatre,"Seaway, Cedar Green",

2017-11-12,"Seattle, WA",El Corazon,"Seaway, Cedar Green",

2017-11-14,"Portland, OR",Hawthorne Theatre,"Seaway, Cedar Green",

2017-11-15,"Spokane, WA",The Pin,"Seaway, Cedar Green",

2017-11-16,"Calgary, AB",Marquee Beer Market,"Seaway, Cedar Green",

2017-11-17,"Regina, SK",The Exchange,"Seaway, Cedar Green",

2017-11-18,"Fargo, ND",The Aquarium,"Seaway, Cedar Green",

2017-11-19,"Minneapolis, MN",Triple Rock Social Club,"Seaway, Cedar Green",

2017-11-21,"Milwaukee, WI",The Rave,"Seaway, Cedar Green",

2017-11-22,"Grand Rapids, MI",Pyramid Scheme,"Seaway, Cedar Green",

2017-11-23,"Hamilton, ON",Club Absinthe,"Seaway, Like Pacific, Cedar Green",

2017-11-24,"Oshawa, ON",The Music Hall,"Seaway, Like Pacific, Cedar Green",

2017-11-25,"London, ON",London Music Hall,"Seaway, Like Pacific, Cedar Green",

2017-12-08,"Southampton, England",Talking Heads,Hail The Sun,

2017-12-09,"Brighton, England",The Haunt,Hail The Sun,

2017-12-10,"Cardiff, Wales",The Globe,Hail The Sun,

2017-12-12,"Glasgow, Scotland",G2,Hail The Sun,

2017-12-13,"Newcastle, England",Think Tank,Hail The Sun,

2017-12-14,"Manchester, England",Sound Control,Hail The Sun,

2017-12-15,"Huddersfield, England",The Parish,Hail The Sun,

2017-12-16,"London, England",Garage,Hail The Sun,

2018-01-19,"Cleveland, OH",House of Blues,"Tonight Alive, Broadside, Picturesque",

2018-01-20,"Cincinnati, OH",Bogart’s,"Tonight Alive, Broadside, Picturesque",

2018-01-21,"Indianapolis, IN",Deluxe,"Tonight Alive, Broadside, Picturesque",

2018-01-23,"St. Louis, MO",Ready Room,"Tonight Alive, Broadside, Picturesque",

2018-01-24,"Lawrence, KS",Granada Theatre,"Tonight Alive, Broadside, Picturesque",

2018-01-26,"Denver, CO",Summit Music Hall,"Tonight Alive, Broadside, Picturesque",

2018-01-27,"Salt Lake City, UT",The Depot,"Tonight Alive, Broadside, Picturesque",

2018-01-28,"Boise, ID",Knitting Factory,"Tonight Alive, Broadside, Picturesque",

2018-01-30,"Sacramento, CA",Ace of Spades,"Tonight Alive, Broadside, Picturesque",

2018-01-31,"San Francisco, CA",Slims,"Tonight Alive, Broadside, Picturesque",

2018-02-01,"Anaheim, CA",House of Blues,"Tonight Alive, Broadside, Picturesque",

2018-02-02,"Los Angeles, CA",The Regent,"Tonight Alive, Broadside, Picturesque",

2018-02-03,"Las Vegas, NV",Vinyl,"Tonight Alive, Broadside, Picturesque",

2018-02-05,"Phoenix, AZ",The Marquee,"Tonight Alive, Broadside, Picturesque",

2018-02-06,"Albuquerque, NM",Sunshine Theatre,"Tonight Alive, Broadside, Picturesque",

2018-02-07,"Lubbock, TX",Jake's Sports Cafe,"Broadside, Picturesque",

2018-02-08,"San Antonio, TX",Alamo City Music Hall,"Tonight Alive, Broadside, Picturesque",

2018-02-09,"Dallas, TX",Gas Monkey Bar & Grill,"Tonight Alive, Broadside, Picturesque",

2018-02-10,"Houston, TX",Numbers,"Tonight Alive, Broadside, Picturesque",

2018-02-12,"Orlando, FL",The Beacham,"Tonight Alive, Broadside, Picturesque",

2018-02-13,"Ft. Lauderdale, FL",Culture Room,"Tonight Alive, Broadside, Picturesque",

2018-02-15,"Atlanta, GA",The Masquerade,"Tonight Alive, Broadside, Picturesque",

2018-02-16,"Charlotte, NC",The Underground,"Tonight Alive, Broadside, Picturesque",

2018-02-17,"Richmond, VA",The Canal Club,"Tonight Alive, Broadside, Picturesque",

2018-02-18,"Philadelphia, PA",Union Transfer,"Tonight Alive, Broadside, Picturesque",

2018-02-19,"Asbury Park, NJ",House of Independents,"Tonight Alive, Broadside, Picturesque",

2018-02-20,"Baltimore, MD",Soundstage,"Tonight Alive, Broadside, Picturesque",

2018-02-22,"Toronto, ON",Danforth Music Hall,"Selfish Things, Broadside, Picturesque",Stay Warm Festival

2018-02-23,"Pontiac, MI",The Crofoot,"Tonight Alive, Broadside, Picturesque",

2018-02-24,"Chicago, IL",Concord Music Hall,"Tonight Alive, Broadside, Picturesque",

2018-02-26,"Buffalo, NY",Town Ballroom,"Tonight Alive, Picturesque",

2018-02-27,"Boston, MA",Paradise Rock Club,"Tonight Alive, Broadside, Picturesque",

2018-02-28,"New York, NY",Irving Plaza,"Tonight Alive, Broadside, Picturesque",

2018-03-01,"Pittsburgh, PA",Mr. Small's,"Tonight Alive, Broadside, Picturesque",

2018-04-20,"Vienna, Austria",Arena,"Comeback Kid, Bury Tomorrow, Atilla, Alazka, Any Given Day, We Came As Romans, Knocked Loose, Obey The Brave, Blood Youth, Cabin Boy Jumped Ship",Impericon Festival

2018-04-21,"Oberhausen, Germany",Turbinenhalle,"Heaven Shall Burn, Comeback Kid, Neaera, Bury Tomorrow, Lionheart, Atilla, Alazka, Any Given Day, We Came As Romans, Knocked Loose, Obey The Brave, Blood Youth",Impericon Festival

2018-04-22,"Solothurn, Switzerland",Kofmehl,"Comeback Kid, Atilla, Lionheart, Alazka, We Came As Romans, Knocked Loose, Obey The Brave, Blood Youth, Oceans Ate Alaska",Impericon Festival

2018-04-24,"Bratislava, Slovakia",Randal Club,"Novelists, Landmvrks",

2018-04-25,"Budapest, Hungary",Durer Kert,Poison Alley,

2018-04-27,"Munich, Germany",Backstage Werk,"Eskimo Callboy, Comeback Kid, Atilla, Alazka, Lionheart, We Came As Romans, Knocked Loose, Obey The Brave, The Plot in You, Polaris, Rings of Saturn, Novelists, Boston Manor, Any Given Day",Impericon Festival

2018-04-28,"Leipzig, Germany",Messe,"Heaven Shall Burn, Boysetsfire, Eskimo Callboy, Neaera, Comeback Kid, Bury Tomorrow, Lionheart, Any Given Day, Atilla, Alazka, Knocked Loose, We Came As Romans, Obey The Brave, Rings of Saturn, Novelists, Boston Manor, Polaris, The Plot In You, Black Tooth Scares",Impericon Festival

2018-05-10,"Honolulu, HI",Anna O'Brien's,,

2018-05-11,"Honolulu, HI",Anna O'Brien's,,

2018-05-14,"Perth, Australia",Amplifier Bar,"Comeback Kid, Bellehaven",

2018-05-15,"Adelaide, Australia",Fowlers Live,"Comeback Kid, Bellehaven",

2018-05-16,"Melbourne, Australia",170 Russell,"Comeback Kid, Bellehaven",

2018-05-18,"Sydney, Australia",Manning Bar,"Comeback Kid, Bellehaven",

2018-05-19,"Newcastle, Australia",The Cambridge Hotel,"Comeback Kid, Bellehaven",

2018-05-20,"Brisbane, Australia",The Triffid,"Comeback Kid, Bellehaven",

2018-05-22,"Auckland, New Zealand",Whammy Bar,Comeback Kid,

2018-05-23,"Wellington, New Zealand",Valhalla,Comeback Kid,

2018-06-16,"Sioux City, IA",Hard Rock Casino,"A Day To Remember, Beartooth",

2018-06-21,"Paris, France",Backstage By The Mill,,

2018-06-22,"Dessel, Belgium",Stenehei Festival Park,"Iron Maiden, Parkway Drive, Avenged Sevenfold, Stick To Your Guns, The Darkness, Less Than Jake, Anti Flag, L7, Culture Abuse",Graspop Metal Meeting

2018-06-23,"Eindhoven, Holland",Dynamo,Generation 84,

2018-06-25,"Saarbrucken, Germany",Garage,"Boysetsfire, Higher Power",

2018-06-26,"Nuremberg, Germany",Lowensaal,"Boysetsfire, Higher Power",

2018-06-27,"Vienna, Austria",Arena,"Boysetsfire, Higher Power",

2018-06-28,"Leipzig, Germany",Conne Island,"Boysetsfire, Higher Power",

2018-06-29,"Tynec, Czech Republic",Panensky Airfield,"Stone Sour, Lana Del Rey, Chvrches, You Me At Six, Being As An Ocean",Aerodrome Festival

2018-06-30,"Munster, Germany",Am Hawerkamp,"Beatsteaks, Bullet For My Valentine, Casper, Boysetsfire, Enter Shikari, Asking Alexandria, Stick To Your Guns, Terror, Sondaschule, Kadavar, Neck Deep, Bury Tomorrow, Touche Amore, Lionheart, Modern Life Is War, The Bronx, Any Given Day, Blessthefall, Der Weg Einer Freiheit, Stray From The Path, Culture Abuse, Knocked Loose, Das Pack, Higher Power, Giver, Shvpes,, Iron Reagan, Cro-Mags",Vainstream Rockfest

2018-07-14,"Quebec City, QC",Plaines d'Abraham,"Alexisonfire, Atreyu",Festival d’Ete

2018-07-17,"Toronto, ON",Budweiser Stage,"3OH!3, The Amity Affliction, As It Is, Assuming We Survive, Broadside, Capstan, Chase Atlantic, Chelsea Grin, Crown The Empire, Dayseeker, Deez Nuts, Don Broco, Every Time I Die, Farewell Winters, Four Year Strong, Grayscale, Harm's Way, Ice Nine Kills, In Hearts Wake, Issues, Knuckle Puck, Kublai Khan, The Maine, Mayday Parade, Motionless In White, Movements, Nekrogoblikon, Real Friends, Reel Big Fish, Sharptooth, Simple Plan, State Champs, Story Untold, This Wild Life, Tonight Alive, Twiztid, Unearth, Wage War, Waterparks, We The Kings, With Confidence, Sum 41, Underoath",Vans Warped Tour

2018-07-18,"Cuyahoga Falls, OH",Blossom Music Center,"3OH!3, The Amity Affliction, As It Is, Assuming We Survive, Broadside, Capstan, Chase Atlantic, Chelsea Grin, Crown The Empire, Dayseeker, Deez Nuts, Don Broco, Every Time I Die, Farewell Winters, Four Year Strong, Grayscale, Harm's Way, Ice Nine Kills, In Hearts Wake, Issues, Knuckle Puck, Kublai Khan, The Maine, Mayday Parade, Motionless In White, Movements, Nekrogoblikon, Real Friends, Reel Big Fish, Sharptooth, Simple Plan, State Champs, Story Untold, This Wild Life, Tonight Alive, Twiztid, Unearth, Wage War, Waterparks, We The Kings, With Confidence, Underoath",Vans Warped Tour

2018-07-19,"Cincinnati, OH",Riverbend Music Center,"3OH!3, The Amity Affliction, As It Is, Assuming We Survive, Broadside, Capstan, Chase Atlantic, Chelsea Grin, Crown The Empire, Dayseeker, Deez Nuts, Don Broco, Every Time I Die, Farewell Winters, Four Year Strong, Grayscale, Harm's Way, Ice Nine Kills, In Hearts Wake, Issues, Knuckle Puck, Kublai Khan, The Maine, Mayday Parade, Motionless In White, Movements, Nekrogoblikon, Real Friends, Reel Big Fish, Sharptooth, Simple Plan, State Champs, Story Untold, This Wild Life, Tonight Alive, Twiztid, Unearth, Wage War, Waterparks, We The Kings, With Confidence, Beartooth",Vans Warped Tour

2018-07-20,"Detroit, MI",Meadowbrook,"3OH!3, The Amity Affliction, As It Is, Assuming We Survive, Broadside, Capstan, Chase Atlantic, Chelsea Grin, Crown The Empire, Dayseeker, Deez Nuts, Don Broco, Every Time I Die, Farewell Winters, Four Year Strong, Grayscale, Harm's Way, Ice Nine Kills, In Hearts Wake, Issues, Knuckle Puck, Kublai Khan, The Maine, Mayday Parade, Motionless In White, Movements, Nekrogoblikon, Real Friends, Reel Big Fish, Sharptooth, Simple Plan, State Champs, Story Untold, This Wild Life, Tonight Alive, Twiztid, Unearth, Wage War, Waterparks, We The Kings, With Confidence",Vans Warped Tour

2018-07-25,"Darien Lake, NY",Darien Lake,"3OH!3, The Amity Affliction, As It Is, Assuming We Survive, Broadside, Capstan, Chase Atlantic, Chelsea Grin, Crown The Empire, Dayseeker, Deez Nuts, Don Broco, Every Time I Die, Farewell Winters, Four Year Strong, Grayscale, Harm's Way, Ice Nine Kills, In Hearts Wake, Issues, Knuckle Puck, Kublai Khan, The Maine, Mayday Parade, Motionless In White, Movements, Nekrogoblikon, Real Friends, Reel Big Fish, Sharptooth, Simple Plan, State Champs, Story Untold, This Wild Life, Tonight Alive, Twiztid, Unearth, Wage War, Waterparks, We The Kings, With Confidence, Frank Turner",Vans Warped Tour

2018-07-26,"Scranton, PA",The Pavillion at Montage Mountain,"3OH!3, The Amity Affliction, As It Is, Assuming We Survive, Broadside, Capstan, Chase Atlantic, Chelsea Grin, Crown The Empire, Dayseeker, Deez Nuts, Don Broco, Every Time I Die, Farewell Winters, Four Year Strong, Grayscale, Harm's Way, Ice Nine Kills, In Hearts Wake, Issues, Knuckle Puck, Kublai Khan, The Maine, Mayday Parade, Motionless In White, Movements, Nekrogoblikon, Real Friends, Reel Big Fish, Sharptooth, Simple Plan, State Champs, Story Untold, This Wild Life, Tonight Alive, Twiztid, Unearth, Wage War, Waterparks, We The Kings, With Confidence, Frank Turner",Vans Warped Tour

